Private IP                public IP

192.168.4.9            220.226.204.99
192.168.4.10           220.226.204.100
192.168.4.10           220.226.204.104
192.168.4.12           220.226.204.72
192.168.4.14           220.226.204.74
192.168.4.15           220.226.204.75
192.168.4.16	       220.226.204.76
192.168.4.17           220.226.204.77

192.168.3.9            202.138.100.229
192.168.3.10           202.138.100.230
192.168.3.11           202.138.100.231
192.168.3.13           202.138.100.233

192.168.4.51           220.226.204.176
192.168.4.52           220.226.204.177
192.168.4.53           220.226.204.178
192.168.4.54 (4.10)    220.226.204.100
192.168.4.55           220.226.204.180
192.168.4.56           220.226.204.181

